,Unnamed: 0,target,LastDigit
0,0,mr_m_politics_02959,1
1,1,mr_m_politics_02621,1
2,2,mr_m_politics_02404,0
3,3,mr_m_politics_03085,1
4,4,mr_m_politics_03049,1
5,5,mr_m_politics_03171,0
6,6,mr_m_politics_03141,1
7,7,mr_m_politics_02679,1
8,8,mr_m_politics_02524,1
9,9,mr_m_politics_02451,0
10,10,mr_m_politics_03046,0
11,11,mr_m_politics_02635,0
12,12,mr_m_politics_03261,1
13,13,mr_m_politics_02736,0
14,14,mr_m_politics_02942,0
15,15,mr_m_politics_02372,1
16,16,mr_m_politics_02730,1
17,17,mr_m_politics_02800,1
18,18,mr_m_politics_02951,1
19,19,mr_m_politics_02897,0
20,20,mr_m_politics_02711,0
21,21,mr_m_politics_02826,1
22,22,mr_m_politics_02502,1
23,23,mr_m_politics_03266,1
24,24,mr_m_politics_03031,1
25,25,mr_m_politics_02355,0
26,26,mr_m_politics_02612,1
27,27,mr_m_politics_02696,1
28,28,mr_m_politics_02762,0
29,29,mr_m_politics_02369,1
30,30,mr_m_politics_02517,1
31,31,mr_m_politics_02890,1
32,32,mr_m_politics_03009,1
33,33,mr_m_politics_02839,0
34,34,mr_m_politics_02324,1
35,35,mr_m_politics_03176,1
36,36,mr_m_politics_03256,1
37,37,mr_m_politics_03154,1
38,38,mr_m_politics_03103,0
39,39,mr_m_politics_03169,1
40,40,mr_m_politics_03126,1
41,41,mr_m_politics_03032,0
42,42,mr_m_politics_02600,0
43,43,mr_m_politics_02923,1
44,44,mr_m_politics_02704,0
45,45,mr_m_politics_03138,1
46,46,mr_m_politics_03107,0
47,47,mr_m_politics_02617,0
48,48,mr_m_politics_03108,0
49,49,mr_m_politics_02883,1
50,50,mr_m_politics_03358,1
51,51,mr_m_politics_03153,1
52,52,mr_m_politics_02460,1
53,53,mr_m_politics_02844,1
54,54,mr_m_politics_03209,1
55,55,mr_m_politics_02435,0
56,56,mr_m_politics_02707,0
57,57,mr_m_politics_02537,1
58,58,mr_m_politics_02840,1
59,59,mr_m_politics_03041,0
60,60,mr_m_politics_03236,1
61,61,mr_m_politics_02878,1
62,62,mr_m_politics_03270,0
63,63,mr_m_politics_02838,0
64,64,mr_m_politics_02845,0
65,65,mr_m_politics_03079,0
66,66,mr_m_politics_03199,1
67,67,mr_m_politics_02910,1
68,68,mr_m_politics_02969,1
69,69,mr_m_politics_02744,0
70,70,mr_m_politics_03366,0
71,71,mr_m_politics_02659,1
72,72,mr_m_politics_02315,0
73,73,mr_m_politics_02869,0
74,74,mr_m_politics_03217,1
75,75,mr_m_politics_02836,1
76,76,mr_m_politics_02597,0
77,77,mr_m_politics_02706,0
78,78,mr_m_politics_02682,1
79,79,mr_m_politics_02547,0
80,80,mr_m_politics_03055,0
81,81,mr_m_politics_03208,1
82,82,mr_m_politics_03066,1
83,83,mr_m_politics_02766,0
84,84,mr_m_politics_02729,1
85,85,mr_m_politics_02587,1
86,86,mr_m_politics_02783,1
87,87,mr_m_politics_03295,1
88,88,mr_m_politics_02832,0
89,89,mr_m_politics_02581,0
90,90,mr_m_politics_02450,0
91,91,mr_m_politics_02564,0
92,92,mr_m_politics_03070,1
93,93,mr_m_politics_02731,1
94,94,mr_m_politics_03170,1
95,95,mr_m_politics_03187,0
96,96,mr_m_politics_03087,0
97,97,mr_m_politics_02604,0
98,98,mr_m_politics_02856,0
99,99,mr_m_politics_02752,0
100,100,mr_m_politics_02483,1
101,101,mr_m_politics_03131,1
102,102,mr_m_politics_02567,1
103,103,mr_m_politics_02699,1
104,104,mr_m_politics_03340,0
105,105,mr_m_politics_03357,0
106,106,mr_m_politics_03238,1
107,107,mr_m_politics_02702,1
108,108,mr_m_politics_02773,1
109,109,mr_m_politics_02545,1
110,110,mr_m_politics_03118,1
111,111,mr_m_politics_03074,0
112,112,mr_m_politics_03047,0
113,113,mr_m_politics_02432,1
114,114,mr_m_politics_02660,1
115,115,mr_m_politics_02769,1
116,116,mr_m_politics_02527,0
117,117,mr_m_politics_02408,1
118,118,mr_m_politics_03219,0
119,119,mr_m_politics_03130,0
120,120,mr_m_politics_02298,1
121,121,mr_m_politics_02440,0
122,122,mr_m_politics_02652,0
123,123,mr_m_politics_02708,1
124,124,mr_m_politics_02631,1
125,125,mr_m_politics_02754,0
126,126,mr_m_politics_03327,0
127,127,mr_m_politics_03056,0
128,128,mr_m_politics_03034,0
129,129,mr_m_politics_02497,1
130,130,mr_m_politics_03294,0
131,131,mr_m_politics_03143,1
132,132,mr_m_politics_03337,1
133,133,mr_m_politics_02792,1
134,134,mr_m_politics_03302,1
135,135,mr_m_politics_02620,1
136,136,mr_m_politics_02570,1
137,137,mr_m_politics_02721,1
138,138,mr_m_politics_03159,1
139,139,mr_m_politics_02619,1
140,140,mr_m_politics_02368,1
141,141,mr_m_politics_03098,1
142,142,mr_m_politics_02328,1
143,143,mr_m_politics_02352,0
144,144,mr_m_politics_02306,0
145,145,mr_m_politics_02448,1
146,146,mr_m_politics_02842,1
147,147,mr_m_politics_03096,0
148,148,mr_m_politics_02350,1
149,149,mr_m_politics_03276,0
150,150,mr_m_politics_02882,0
151,151,mr_m_politics_03179,0
152,152,mr_m_politics_03164,1
153,153,mr_m_politics_02462,1
154,154,mr_m_politics_03078,1
155,155,mr_m_politics_02445,0
156,156,mr_m_politics_02991,0
157,157,mr_m_politics_03051,0
158,158,mr_m_politics_03331,1
159,159,mr_m_politics_02361,1
160,160,mr_m_politics_02911,1
161,161,mr_m_politics_02921,0
162,162,mr_m_politics_03166,0
163,163,mr_m_politics_02551,1
164,164,mr_m_politics_03064,1
165,165,mr_m_politics_02458,0
166,166,mr_m_politics_02799,0
167,167,mr_m_politics_02781,1
168,168,mr_m_politics_02542,0
169,169,mr_m_politics_03344,1
170,170,mr_m_politics_02504,1
171,171,mr_m_politics_03167,1
172,172,mr_m_politics_03025,1
173,173,mr_m_politics_02735,1
174,174,mr_m_politics_03223,0
175,175,mr_m_politics_02599,0
176,176,mr_m_politics_03038,1
177,177,mr_m_politics_02562,1
178,178,mr_m_politics_02506,0
179,179,mr_m_politics_03147,1
180,180,mr_m_politics_02354,1
181,181,mr_m_politics_02782,1
182,182,mr_m_politics_02953,1
183,183,mr_m_politics_02503,0
184,184,mr_m_politics_02543,1
185,185,mr_m_politics_03008,0
186,186,mr_m_politics_02693,0
187,187,mr_m_politics_03024,0
188,188,mr_m_politics_02678,1
189,189,mr_m_politics_03308,1
190,190,mr_m_politics_02761,0
191,191,mr_m_politics_02629,1
192,192,mr_m_politics_02834,0
193,193,mr_m_politics_02628,1
194,194,mr_m_politics_02997,0
195,195,mr_m_politics_02303,1
196,196,mr_m_politics_02398,1
197,197,mr_m_politics_03104,0
198,198,mr_m_politics_03161,1
199,199,mr_m_politics_03227,0
200,200,mr_m_politics_02533,1
201,201,mr_m_politics_03233,1
202,202,mr_m_politics_02978,1
203,203,mr_m_politics_02793,0
204,204,mr_m_politics_03346,1
205,205,mr_m_politics_02695,1
206,206,mr_m_politics_02676,1
207,207,mr_m_politics_02539,0
208,208,mr_m_politics_03110,1
209,209,mr_m_politics_03121,1
210,210,mr_m_politics_03300,1
211,211,mr_m_politics_02938,0
212,212,mr_m_politics_02396,1
213,213,mr_m_politics_03324,0
214,214,mr_m_politics_02518,1
215,215,mr_m_politics_02511,0
216,216,mr_m_politics_03036,1
217,217,mr_m_politics_02555,0
218,218,mr_m_politics_02785,0
219,219,mr_m_politics_02442,0
220,220,mr_m_politics_02825,0
221,221,mr_m_politics_02780,0
222,222,mr_m_politics_03226,1
223,223,mr_m_politics_03165,0
224,224,mr_m_politics_02486,1
225,225,mr_m_politics_02480,1
226,226,mr_m_politics_03112,0
227,227,mr_m_politics_02641,0
228,228,mr_m_politics_03013,1
229,229,mr_m_politics_03289,1
230,230,mr_m_politics_03213,1
231,231,mr_m_politics_03093,0
232,232,mr_m_politics_02852,1
233,233,mr_m_politics_03065,1
234,234,mr_m_politics_03305,0
235,235,mr_m_politics_02326,1
236,236,mr_m_politics_02430,1
237,237,mr_m_politics_02675,0
238,238,mr_m_politics_03137,1
239,239,mr_m_politics_03018,0
240,240,mr_m_politics_02943,0
241,241,mr_m_politics_02776,1
242,242,mr_m_politics_02434,0
243,243,mr_m_politics_03189,1
244,244,mr_m_politics_02965,1
245,245,mr_m_politics_03127,0
246,246,mr_m_politics_03035,0
247,247,mr_m_politics_02522,1
248,248,mr_m_politics_03332,1
249,249,mr_m_politics_03042,0
250,250,mr_m_politics_02670,1
251,251,mr_m_politics_02843,0
252,252,mr_m_politics_02316,0
253,253,mr_m_politics_02983,1
254,254,mr_m_politics_02608,1
255,255,mr_m_politics_02347,0
256,256,mr_m_politics_02472,0
257,257,mr_m_politics_02790,0
258,258,mr_m_politics_02627,0
259,259,mr_m_politics_02817,0
260,260,mr_m_politics_03335,1
261,261,mr_m_politics_03151,0
262,262,mr_m_politics_02698,1
263,263,mr_m_politics_02340,1
264,264,mr_m_politics_02530,0
265,265,mr_m_politics_02685,0
266,266,mr_m_politics_02719,1
267,267,mr_m_politics_02973,1
268,268,mr_m_politics_02447,0
269,269,mr_m_politics_02677,1
270,270,mr_m_politics_02644,0
271,271,mr_m_politics_02514,0
272,272,mr_m_politics_03197,1
273,273,mr_m_politics_02742,1
274,274,mr_m_politics_02476,1
275,275,mr_m_politics_03006,0
276,276,mr_m_politics_02974,1
277,277,mr_m_politics_02724,1
278,278,mr_m_politics_02751,0
279,279,mr_m_politics_02307,0
280,280,mr_m_politics_03030,1
281,281,mr_m_politics_02580,1
282,282,mr_m_politics_03211,0
283,283,mr_m_politics_03320,1
284,284,mr_m_politics_02428,1
285,285,mr_m_politics_02588,1
286,286,mr_m_politics_02982,0
287,287,mr_m_politics_03116,1
288,288,mr_m_politics_03281,0
289,289,mr_m_politics_03297,1
290,290,mr_m_politics_02549,1
291,291,mr_m_politics_02968,0
292,292,mr_m_politics_02496,0
293,293,mr_m_politics_02930,0
294,294,mr_m_politics_02456,0
295,295,mr_m_politics_03216,0
296,296,mr_m_politics_02672,1
297,297,mr_m_politics_02873,1
298,298,mr_m_politics_02313,1
299,299,mr_m_politics_02387,0
300,300,mr_m_politics_02986,1
301,301,mr_m_politics_03221,1
302,302,mr_m_politics_02990,1
303,303,mr_m_politics_02794,0
304,304,mr_m_politics_02663,1
305,305,mr_m_politics_02939,0
306,306,mr_m_politics_02602,1
307,307,mr_m_politics_02937,1
308,308,mr_m_politics_03193,1
309,309,mr_m_politics_02643,1
310,310,mr_m_politics_03240,1
311,311,mr_m_politics_02668,1
312,312,mr_m_politics_02994,1
313,313,mr_m_politics_02733,0
314,314,mr_m_politics_02999,0
315,315,mr_m_politics_03220,1
316,316,mr_m_politics_02412,0
317,317,mr_m_politics_02895,0
318,318,mr_m_politics_02571,1
319,319,mr_m_politics_02823,0
320,320,mr_m_politics_02847,0
321,321,mr_m_politics_02778,0
322,322,mr_m_politics_03205,1
323,323,mr_m_politics_02771,0
324,324,mr_m_politics_03200,0
325,325,mr_m_politics_03203,1
326,326,mr_m_politics_03309,1
327,327,mr_m_politics_03144,0
328,328,mr_m_politics_02891,0
329,329,mr_m_politics_02818,0
330,330,mr_m_politics_02701,1
331,331,mr_m_politics_03124,0
332,332,mr_m_politics_02791,1
333,333,mr_m_politics_03257,1
334,334,mr_m_politics_02425,1
335,335,mr_m_politics_03338,0
336,336,mr_m_politics_02922,1
337,337,mr_m_politics_03262,1
338,338,mr_m_politics_02465,1
339,339,mr_m_politics_03298,1
340,340,mr_m_politics_02741,1
341,341,mr_m_politics_03044,1
342,342,mr_m_politics_02482,1
343,343,mr_m_politics_02893,1
344,344,mr_m_politics_02804,0
345,345,mr_m_politics_02305,0
